Object,Area,X,Y,Z
0,0.739390,-61.085249,-9.246000,-22.959150
1,4.230451,-24.705700,36.552299,-23.518050
2,1.459875,-59.426100,-9.912740,-22.707850
3,1.269587,-60.306599,-7.858145,-22.405300
4,7.129892,-61.648100,-7.067485,-23.475801
5,1.015881,-59.201149,-6.161560,-23.180250
6,3.918785,-56.820299,-7.750795,-22.857950
7,1.999763,-56.637400,-5.961195,-22.688300
8,1.395769,-57.012651,-5.457420,-22.623550
9,3.232573,-56.553251,-4.700575,-24.083500
10,5.087428,-52.578951,-3.293740,-23.285001
11,2.010735,-54.711399,-0.178640,-23.358049
12,3.956435,-54.317598,0.636000,-23.648750
13,2.749411,-51.979549,-0.238478,-23.688750
14,7.488981,-49.961950,0.406678,-23.071050
15,1.267836,-50.656050,2.102590,-24.369900
16,5.421157,-49.929251,2.012745,-22.708599
17,1.510779,-49.321751,1.222637,-23.398251
18,4.226776,-49.044651,2.707290,-24.224950
19,2.482868,-51.098850,3.622770,-23.195300
20,1.922286,-49.730499,4.852015,-24.094200
21,3.028135,-47.601151,5.084600,-22.918200
22,0.745802,-49.602699,3.662155,-22.889050
23,1.240113,-48.413549,6.597955,-23.256949
24,3.934791,-47.314098,5.577280,-24.310600
25,9.982218,-46.350100,7.016285,-24.686100
26,3.108127,-46.003750,7.993630,-24.495600
27,1.902914,-45.266600,8.486055,-24.476600
28,3.190187,-45.078600,10.552450,-23.269000
29,2.227163,-45.018551,11.458400,-24.152200
30,4.427171,-42.751348,11.294900,-24.056499
31,3.928528,-41.910551,14.174350,-23.305950
32,2.817219,-42.700451,12.105250,-22.658150
33,2.007842,-41.456001,12.726100,-24.328549
34,0.753467,-42.157101,11.150750,-23.802600
35,0.983583,-42.344099,13.104650,-24.415200
36,1.502229,-43.637251,11.903950,-23.060499
37,7.215600,-38.875599,13.602550,-23.209599
38,4.558526,-41.431900,15.916700,-23.070500
39,10.376977,-39.416100,17.944201,-23.143001
40,11.053950,-39.217852,19.206500,-21.634151
41,5.241901,-36.664398,20.512050,-22.283100
42,4.447337,-35.994801,17.995100,-23.639550
43,1.927992,-35.005899,18.998250,-23.147050
44,3.779206,-34.051001,18.662250,-22.413051
45,0.904446,-34.721600,20.728601,-22.973101
46,2.610304,-34.678801,21.745600,-22.007450
47,4.879473,-38.502649,13.944550,-22.916500
48,2.161820,-32.834400,19.963750,-23.531350
49,2.241837,-30.414350,20.431750,-23.062550
50,1.665301,-29.849199,22.084801,-22.823750
51,2.825847,-30.519100,24.213350,-23.719199
52,4.799031,-31.884850,21.320251,-23.784750
53,4.002347,-29.370999,23.820400,-23.395950
54,2.152550,-28.731400,24.296700,-22.561999
55,6.103532,-27.531550,26.411000,-23.005301
56,5.101193,-27.415250,27.192901,-22.558850
57,0.809688,-29.721950,22.921150,-23.812150
58,2.399468,-27.022950,23.942950,-22.748250
59,16.779164,-26.141749,24.666750,-22.518550
60,16.779164,-26.141749,24.666750,-22.518550
61,5.595472,-24.097401,27.662649,-23.003799
62,1.785692,-25.226550,29.576150,-23.701800
63,1.232072,-23.469550,28.867599,-23.017750
64,1.655708,-24.740999,30.223400,-22.550250
65,1.296181,-23.470150,30.647349,-22.994150
66,3.576033,-24.913500,32.442150,-23.718800
67,2.563266,-22.471001,31.798600,-22.906050
68,1.780626,-21.985001,31.981200,-23.045800
69,5.239514,-23.930551,32.934351,-24.035900
70,10.603597,-19.898350,33.592749,-23.507099
71,4.524677,-22.096149,32.476199,-24.378850
72,1.833211,-23.235900,34.953850,-22.991651
73,1.938255,-24.080601,35.185499,-23.807800
74,0.384033,-21.616850,36.576450,-24.006250
75,4.560287,-22.732599,36.993999,-22.599500
76,2.773536,-23.957749,38.423250,-23.740800
77,1.423872,-21.053801,38.382252,-23.022100
78,5.303819,-21.434051,41.239000,-24.081800
79,1.741224,-21.555450,40.133251,-22.877250
80,0.478827,-20.426499,38.964951,-23.236250
81,3.082110,-18.785600,39.451851,-23.586500
82,3.057737,-20.507900,40.746799,-22.815450
83,2.278099,-21.258700,41.825100,-23.560100
84,3.857885,-17.767950,40.827000,-23.856150
85,7.124290,-19.128050,43.506699,-23.403700
86,1.747007,-20.362300,43.271301,-23.622900
87,2.322869,-18.419700,43.723450,-23.189700
88,4.842268,-17.549700,45.079651,-23.927200
89,2.549219,-17.509800,42.394949,-23.369699
90,0.810693,-21.704101,38.128649,-22.846049
91,4.159741,-16.948950,47.193600,-23.518500
92,0.796943,-15.035350,46.859650,-23.565550
93,7.126946,-14.244850,48.786150,-22.079300
94,8.908407,-12.117700,46.035051,-22.635201
95,2.097359,-13.204600,50.461250,-22.812900
96,4.793012,-11.709200,51.283649,-22.384450
97,4.471582,-12.268300,47.543949,-23.661301
98,2.592258,-12.048700,48.161850,-22.815150
99,2.852864,-13.925800,47.327299,-22.257250
100,3.330015,-7.432180,52.139450,-21.593050
101,2.321762,-7.236990,52.117149,-22.477650
102,7.219754,-4.115130,52.330851,-21.769650
103,5.438161,-4.489265,55.213049,-22.219800
104,3.295730,-3.361805,53.237049,-21.419701
105,2.720405,-1.531525,56.208500,-22.115900
106,1.692240,-0.015123,56.736052,-20.715800
107,2.343456,-15.674750,46.317400,-22.040000
